timestamp,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt,bytes_acked,state,packets_out,ca_name,retrans_out,total_retrans,sndbuf,retransmissions,duplicate_acks
1783710179,127.0.0.1,50836,127.0.0.1,20756,6,5,108286,145887866,1,6,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,6,5,107393,146018832,1,6,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,6,5,106614,146149798,1,6,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,6,5,105938,146280764,1,6,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,7,5,105340,146411730,1,7,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,7,5,104843,146542696,1,7,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,7,5,104416,146673662,1,7,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,7,5,104026,146804628,1,7,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,50836,127.0.0.1,20756,7,5,108958,146870111,1,7,cubic,0,27,4194304,0,0
1783710179,127.0.0.1,51592,127.0.0.1,13997,4,3,105233,32973650,1,0,cubic,0,23,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,7,5,107998,147132043,1,7,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,107121,147263009,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,107376,147393975,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,13997,127.0.0.1,51592,7,7,63664,1307904,1,1,cubic,0,6,2626560,0,0
1783710180,127.0.0.1,13997,127.0.0.1,51592,7,7,73445,1307923,1,0,cubic,0,6,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,106535,147590424,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,13997,4,3,105233,32973650,1,2,cubic,0,23,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,13997,4,3,104634,32973767,1,1,cubic,0,23,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,105769,147721390,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,110586,147786873,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,18093,5,5,112777,3926554,1,0,cubic,0,31,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,8,5,109302,148114288,1,8,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,18093,127.0.0.1,51592,3,2,149121,9522582,1,1,cubic,0,15,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,108164,148245254,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,107982,148376220,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,18093,5,5,112777,3926554,1,1,cubic,0,31,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,107038,148638152,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,18093,127.0.0.1,51592,3,2,143239,9522720,1,1,cubic,0,15,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,106260,148769118,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,111032,148834601,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,13997,127.0.0.1,51592,7,7,73445,1307923,1,0,cubic,0,6,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,9,5,109795,149227499,1,9,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,18093,5,5,111223,3926592,1,1,cubic,0,31,2626560,0,0
1783710180,127.0.0.1,51592,127.0.0.1,13997,4,3,104101,32973890,1,1,cubic,0,23,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,18093,5,5,115402,3926702,1,0,cubic,0,31,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,108727,149358465,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,108682,149489431,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,13997,127.0.0.1,51592,7,7,73445,1307923,1,0,cubic,0,6,2626560,0,0
1783710180,127.0.0.1,18093,127.0.0.1,51592,3,2,138219,9523116,1,1,cubic,0,15,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,107764,149816846,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,13997,4,3,103730,32974098,1,1,cubic,0,23,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,106921,149947812,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,51592,127.0.0.1,18093,5,5,115402,3926702,1,1,cubic,0,31,2626560,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,111284,150013295,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,10,5,110011,150471676,1,10,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,108860,150602642,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,109033,150733608,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,108022,151126506,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,107098,151257472,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,111774,151322955,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,110464,151453921,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,109241,151584887,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,11,5,108177,151846819,1,11,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,12,5,107345,151977785,1,12,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,12,5,107487,152108751,1,12,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,12,5,106738,152567132,1,12,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,12,5,106042,152698098,1,12,cubic,0,27,4194304,0,0
1783710180,127.0.0.1,50836,127.0.0.1,20756,12,5,110513,152763581,1,12,cubic,0,27,4194304,0,0
